Original	Fixed	Notes
doxorubicin (pegylated liposomal) 50mg/m2 (caelyx)® - 28 days	pegylated liposomal doxorubicin 50mg/m2 (caelyx®) 28 days	harmonize
pegylated liposomal doxorubicin 50mg/m2(caelyx) ® 28 days regimen	pegylated liposomal doxorubicin 50mg/m2 (caelyx®) 28 days	harmonize
cisplatin and teysuno - 28 day cycle	cisplatin and teysuno® - 28 day cycle	harmonize
epirubicin, oxaliplatin and capecitabine (eox)therapy	epirubicin, oxaliplatin and capecitabine (eox)	harmonize
gemcitabine + capecitabine	gemcitabine (1000mg/m2) and capecitabine (650mg/m2) therapy - 21 days	harmonize
lenvatinib-hcc	lenvatinib - hcc therapy	new label
lenvatinib_hcc	lenvatinib - hcc therapy	new label
trifluridine and tipiracil (lonsurf®)	trifluridine and tipiracil (lonsurf®) therapy	new label
trifluridine and tipracil (lonsurf®)therapy	trifluridine and tipiracil (lonsurf®) therapy	new label
cabozantanib	cabozantinib	typo
olaparib (tablet)	olaparib (tablets)	harmonize
lenvatinib dtc	lenvatinib - dtc therapy	new label
lenvatinib_dtc	lenvatinib - dtc therapy	new label
chlorambucil10mg/m2	chlorambucil 10mg/m2	typo
fludarabine, cyclophosamide and rituximab ( fc (oral) and r)	fludarabine, cyclophosphamide and rituximab (fc oral+r)	harmonize
ibrutinib therapy-cll waldenström’s macroglobulinaemia	ibrutinib therapy (cll/ waldenstrom's macroglobulinaemia)	harmonize
ibrutinib therapy-cll - waldenström’s macroglobulinaemia	ibrutinib therapy (cll/ waldenstrom's macroglobulinaemia)	harmonize
tretinoin (atra)idarubicin (pethema aida) induction therapy:high risk	tretinoin (atra) / idarubicin (pethema aida) induction therapy: high risk	new label
tretinoin (atra)/idarubicin (pethema aida) induction	tretinoin (atra) / idarubicin (pethema aida) induction therapy: high risk	new label
nindetanib	nintedanib	typo
oral vinorelbine monotherapy 7 days	oral vinorelbine monotherapy - 7 days	harmonize
dexamethasone, rituximab and cyclophosphamide (drc)therapy	dexamethasone, rituximab and cyclophosphamide (drc)	harmonize
ibrutinib therapy (mantly cell lymphoma)	ibrutinib therapy (mantle cell lymphoma)	typo
r-ceop	rituximab, cyclophosphamide, etoposide, vincristine prednisolone (r-ceop) therapy - 21 days	harmonize
bortezomib , melphalan and prednisolone	bortezomib, melphalan and prednisolone	harmonize
bortezomib + dexamethasone +thalidomide (vtd) induction	bortezomib, thalidomide and dexamethasone (vtd) induction	harmonize
bortezomide, cyclophosphamide and dexamethasone - 21 days	cyclophosphamide, bortezomib and dexamethasone (cybord) - 21 days	typo
cybord/ cylophosphamide, bortezomib, and dexamethasone - 21 days	cyclophosphamide, bortezomib and dexamethasone (cybord) - 21 days	harmonize
modified cybord/ bortezomib/ cyclophosphamide and dexamethasone - weekly	cyclophosphamide, bortezomib and dexamethasone (modified cybord) - weekly	harmonize
modified cybord/ bortezomib, cyclophosphamide and dexamethasone -weekly	cyclophosphamide, bortezomib and dexamethasone (modified cybord) - weekly	harmonize
sunitnib 37.5mg	sunitinib 37.5mg	typo
temozolomide with radiotherapy (rt) and adjuvant	temozolomide with radiotherapy (rt) and adjuvant therapy	new label
temozolomide with rt and adjuvant	temozolomide with radiotherapy (rt) and adjuvant therapy	new label
larotrectinib monotherapy-paediatric	larotrectinib monotherapy - paediatric	harmonize
larotrectinib monotherapy- adult	larotrectinib monotherapy - adult	harmonize
bevacizumab 15 paclitaxel and carbo auc6	bevacizumab 15mg/kg, carboplatin (auc 6) and paclitaxel 175mg/m2	harmonize
