Code	Indication	Categories	Regimen	URL
00254b	"Adjuvant treatment of hormone receptor positive early invasive breast cancer in post-menopausal women.
Adjuvant treatment of postmenopausal women with hormone receptor positive invasive early breast cancer."	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	anastrozole	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/254.pdf
00254c	"Adjuvant treatment of hormone receptor-positive early invasive breast cancer in postmenopausal women who have received 2 to 3 years of adjuvant tamoxifen.
Extended adjuvant treatment of hormone-dependent-invasive breast cancer in postmenopausal women who have received 2 to 3 years of adjuvant tamoxifen."	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	anastrozole	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/254.pdf
00216f	Adjuvant treatment of stage I to IIIB, triple negative breast cancer (TNBC) in patients with residual invasive disease after neoadjuvant chemotherapy treatment.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	capecitabine	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/216.pdf
00348a	Neoadjuvant treatment of triple negative breast carcinoma.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	carboplatin (auc6) and weekly paclitaxel (80mg/m2) followed by dose dense doxorubicin cyclophosphamide therapy-triple negative breast cancer	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/348.pdf
00381a	Adjuvant treatment for breast carcinoma in patients who are considered unsuitable for anthracycline therapy.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	cyclophosphamide (iv) methotrexate and 5-fluorouracil (cmf) therapy 21 day	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/381.pdf
00378a	Adjuvant treatment for breast carcinoma in patients who are considered unsuitable for anthracycline therapy.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	cyclophosphamide (iv) methotrexate and 5-fluorouracil (cmf) therapy 28 day	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/378.pdf
00377a	Adjuvant treatment for breast carcinoma in patients who are considered unsuitable for anthracycline therapy.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	cyclophosphamide (oral) methotrexate and 5-fluorouracil (cmf)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/377.pdf
00250a	Adjuvant treatment of patients with high risk node-positive or node-negative early operable breast cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	docetaxel/cyclophosphamide (tc) therapy - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/250-docetaxel-cyclophosphamide-tc-therapy-21-day.pdf
00258a	Adjuvant treatment HER2 positive early breast cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	docetaxel, carboplatin and trastuzumab (tch) - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/258.pdf
00722a	Neoadjuvant treatment of adult patients with HER2-positive locally advanced, inflammatory or early breastcancer at high risk of recurrence.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	docetaxel, carboplatin, trastuzumab and pertuzumab (tchp)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/722-docetaxel-carboplatin-trastuzumab-and-pertuzumab-tchp-therapy.pdf
